//TABELA COM CÓDIGO IBGE ATUALIZADO DE ACORDO COM TABELA SPEED FISCAL...
UF|MUNICIPIO               |CEP     |IBGE
AC|Acrelândia              |69945000|1200013
AC|Assis Brasil            |69935000|1200054
AC|Brasiléia               |69932000|1200104
AC|Bujari                  |69923000|1200138
AC|Capixaba                |69922000|1200179
AC|Cruzeiro do Sul         |69980000|1200203
AC|Epitaciolândia          |69934000|1200252
AC|Feijó                   |69960000|1200302
AC|Jordão                  |69975000|1200328
AC|Mâncio Lima             |69990000|1200336
AC|Manoel Urbano           |69950000|1200344
AC|Marechal Thaumaturgo    |69983000|1200351
AC|Plácido de Castro       |69928000|1200385
AC|Porto Acre              |69921000|1200807
AC|Porto Walter            |69982000|1200393
AC|Rio Branco              |00000000|1200401
AC|Rodrigues Alves         |69985000|1200427
AC|Santa Rosa              |69955000|0000000
AC|Santa Rosa do Purus     |00000000|1200435
AC|Sena Madureira          |69940000|1200500
AC|Senador Guiomard        |69925000|1200450
AC|Tarauacá                |69970000|1200609
AC|Xapuri                  |69930000|1200708
AL|Água Branca             |57490000|2700102
AL|Alazão                  |57317000|0000000
AL|Alecrim                 |57405000|0000000
AL|Anadia                  |57660000|2700201
AL|Anel                    |57710000|0000000
AL|Anum Novo               |57610100|0000000
AL|Anum Velho              |57610200|0000000
AL|Arapiraca               |00000000|2700300
AL|Atalaia                 |57690000|2700409
AL|Baixa da Onça           |57317100|0000000
AL|Baixa do Capim          |57317200|0000000
AL|Bálsamo                 |57317300|0000000
AL|Bananeiras              |57317400|0000000
AL|Barra de Santo Antônio  |57925000|2700508
AL|Barra de São Miguel     |57180000|2700607
AL|Barra do Bonifácio      |57610300|0000000
AL|Barra Grande            |57958000|0000000
AL|Batalha                 |57420000|2700706
AL|Batingas                |57317500|0000000
AL|Belém                   |57630000|2700805
AL|Belo Monte              |57435000|2700904
AL|Boa Sorte               |57610400|0000000
AL|Boa Vista               |57317600|0000000
AL|Boa Vista               |57610500|0000000
AL|Boca da Mata            |57680000|2701001
AL|Bom Jardim              |57317700|0000000
AL|Bonifácio               |57610600|0000000
AL|Branquinha              |57830000|2701100
AL|Cacimbinhas             |57570000|2701209
AL|Cajarana                |57317800|0000000
AL|Cajueiro                |57770000|2701308
AL|Caldeirões de Cima      |57614000|0000000
AL|Camadanta               |57318000|0000000
AL|Campestre               |57968000|2701357
AL|Campo Alegre            |57250000|2701407
AL|Campo Grande            |57350000|2701506
AL|Canaã                 |57317900|0000000
AL|Canafístula           |57613000|0000000
AL|Canapi                |57530000|2701605
AL|Canastra              |57895000|0000000
AL|Cangandu              |57318100|0000000
AL|Capela                |57780000|2701704
AL|Carneiros             |57535000|2701803
AL|Carrasco              |57318200|0000000
AL|Chã Preta             |57760000|2701902
AL|Coité do Nóia         |57325000|2702009
AL|Colônia Leopoldina    |57975000|2702108
AL|Coqueiro Seco         |57140000|2702207
AL|Coruripe              |57230000|2702306
AL|Coruripe da Cal       |57610900|0000000
AL|Craíbas               |57320000|2702355
AL|Delmiro Gouveia       |57480000|2702405
AL|Dois Riachos          |57560000|2702504
AL|Entremontes           |57465000|0000000
AL|Estrela de Alagoas    |57625000|2702553
AL|Feira Grande          |57340000|2702603
AL|Feliz Deserto         |57220000|2702702
AL|Flexeiras             |57995000|2702801
AL|Gaspar                |57318300|0000000
AL|Girau do Ponciano     |57360000|2702900
AL|Ibateguara            |57890000|2703007
AL|Igaci                 |57620000|2703106
AL|Igreja Nova           |57280000|2703205
AL|Inhapi                |57545000|2703304
AL|Jacaré dos Homens     |57430000|2703403
AL|Jacuípe               |57960000|2703502
AL|Japaratinga           |57950000|2703601
AL|Jaramataia            |57425000|2703700
AL|Jenipapo              |57318400|0000000
AL|Jequiá da Praia       |57244000|2703759
AL|Joaquim Gomes         |57980000|2703809
AL|Jundiá                |57965000|2703908
AL|Junqueiro             |57270000|2704005
AL|Lagoa da Areia        |57611200|0000000
AL|Lagoa da Canoa        |57330000|2704104
AL|Lagoa da Pedra        |57318500|0000000
AL|Lagoa Dantas          |57611500|0000000
AL|Lagoa do Caldeirão    |57611300|0000000
AL|Lagoa do Canto        |57611400|0000000
AL|Lagoa do Exú          |57611600|0000000
AL|Lagoa do Rancho       |57318600|0000000
AL|Lagoa do Rancho       |57611700|0000000
AL|Lajes do Caldeirão    |57611800|0000000
AL|Laranjal              |57318700|0000000
AL|Limoeiro de Anadia    |57260000|2704203
AL|Maceió                |00000000|2704302
AL|Major Isidoro         |57580000|2704401
AL|Mar Vermelho          |57730000|2704906
AL|Maragogi              |57955000|2704500
AL|Maravilha             |57520000|2704609
AL|Marechal Deodoro      |57160000|2704708
AL|Maribondo             |57670000|2704807
AL|Massaranduba          |57318800|0000000
AL|Mata Grande           |57540000|2705002
AL|Matriz de Camaragibe  |57910000|2705101
AL|Messias                    |57990000|2705200
AL|Minador do Negrão          |57615000|2705309
AL|Monteirópolis              |57440000|2705408
AL|Moreira                    |57611900|0000000
AL|Munguba                    |57850000|0000000
AL|Murici                     |57820000|2705507
AL|Novo Lino                  |57970000|2705606
AL|Olho D'Água das Flores     |57442000|2705705
AL|Olho D'Água de Cima        |57318900|0000000
AL|Olho D'Água do Casado      |57470000|2705804
AL|Olho D'Água dos Dandanhas  |57319000|0000000
AL|Olho D'Água Grande         |57390000|2705903
AL|Olivença                   |57550000|2706000
AL|Ouro Branco                |57525000|2706109
AL|Palestina                  |57410000|2706208
AL|Palmeira de Fora           |57613500|0000000
AL|Palmeira dos Índios        |00000000|2706307
AL|Pão de Açúcar              |57400000|2706406
AL|Pariconha                  |57475000|2706422
AL|Paripueira                 |57935000|2706448
AL|Passo de Camaragibe        |57930000|2706505
AL|Pau D'Arco                 |57319100|0000000
AL|Pau Ferro                  |57319200|0000000
AL|Paulo Jacinto              |57740000|2706604
AL|Penedo                     |57200000|2706703
AL|Piacabuçu                  |57210000|2706802
AL|Pilar                      |57150000|2706901
